 P(0,mb), T(0,K) Hr(0,%), freq(Hz), grad(K/km), theta(deg), TbUp(k), TbDown(K), tau(neper)
 $
 1013.00 271.25 70.00  0.1870E+11  6.50  0.00  6.32  8.95 0.2520E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  1.00  6.32  8.95 0.2521E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  2.00  6.32  8.96 0.2522E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  3.00  6.32  8.96 0.2524E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  4.00  6.33  8.97 0.2526E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  5.00  6.34  8.98 0.2530E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  6.00  6.35  8.99 0.2534E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  7.00  6.36  9.00 0.2539E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  8.00  6.38  9.01 0.2545E-01
 1013.00 271.25 70.00  0.1870E+11  6.50  9.00  6.39  9.03 0.2552E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 10.00  6.41  9.05 0.2559E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 11.00  6.43  9.07 0.2567E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 12.00  6.46  9.09 0.2576E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 13.00  6.48  9.11 0.2586E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 14.00  6.51  9.14 0.2597E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 15.00  6.54  9.17 0.2609E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 16.00  6.57  9.20 0.2622E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 17.00  6.60  9.23 0.2635E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 18.00  6.64  9.27 0.2650E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 19.00  6.67  9.31 0.2665E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 20.00  6.72  9.35 0.2682E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 21.00  6.76  9.39 0.2699E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 22.00  6.80  9.44 0.2718E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 23.00  6.85  9.48 0.2738E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 24.00  6.90  9.54 0.2758E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 25.00  6.96  9.59 0.2780E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 26.00  7.02  9.65 0.2804E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 27.00  7.08  9.71 0.2828E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 28.00  7.14  9.77 0.2854E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 29.00  7.21  9.84 0.2881E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 30.00  7.28  9.91 0.2910E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 31.00  7.35  9.98 0.2940E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 32.00  7.43 10.06 0.2971E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 33.00  7.51 10.14 0.3004E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 34.00  7.60 10.22 0.3039E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 35.00  7.69 10.31 0.3076E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 36.00  7.78 10.40 0.3114E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 37.00  7.88 10.50 0.3155E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 38.00  7.99 10.61 0.3197E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 39.00  8.10 10.72 0.3242E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 40.00  8.21 10.83 0.3289E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 41.00  8.33 10.95 0.3338E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 42.00  8.46 11.08 0.3390E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 43.00  8.59 11.21 0.3444E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 44.00  8.73 11.35 0.3502E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 45.00  8.88 11.49 0.3562E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 46.00  9.04 11.65 0.3626E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 47.00  9.20 11.81 0.3693E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 48.00  9.37 11.98 0.3764E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 49.00  9.56 12.16 0.3839E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 50.00  9.75 12.36 0.3918E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 51.00  9.95 12.56 0.4002E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 52.00 10.17 12.77 0.4090E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 53.00 10.40 13.00 0.4184E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 54.00 10.64 13.24 0.4284E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 55.00 10.90 13.49 0.4390E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 56.00 11.17 13.76 0.4502E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 57.00 11.46 14.05 0.4622E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 58.00 11.77 14.36 0.4750E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 59.00 12.10 14.69 0.4887E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 60.00 12.46 15.04 0.5033E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 61.00 12.83 15.41 0.5190E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 62.00 13.24 15.82 0.5359E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 63.00 13.68 16.25 0.5541E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 64.00 14.15 16.72 0.5738E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 65.00 14.66 17.22 0.5950E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 66.00 15.21 17.77 0.6182E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 67.00 15.81 18.36 0.6433E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 68.00 16.46 19.01 0.6708E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 69.00 17.18 19.72 0.7010E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 70.00 17.96 20.50 0.7343E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 71.00 18.83 21.36 0.7711E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 72.00 19.79 22.31 0.8120E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 73.00 20.85 23.37 0.8577E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 74.00 22.05 24.56 0.9092E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 75.00 23.39 25.90 0.9675E-01
 1013.00 271.25 70.00  0.1870E+11  6.50 76.00 24.92 27.42 0.1034E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 77.00 26.67 29.16 0.1111E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 78.00 28.68 31.16 0.1200E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 79.00 31.03 33.50 0.1305E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 80.00 33.80 36.27 0.1430E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 81.00 37.12 39.58 0.1583E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 82.00 41.16 43.61 0.1771E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 83.00 46.16 48.61 0.2009E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 84.00 52.50 54.97 0.2320E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 85.00 60.78 63.28 0.2740E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 86.00 71.93 74.55 0.3337E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 87.00 87.56 90.43 0.4239E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 88.00 ***** ***** 0.5726E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 89.00 ***** ***** 0.8479E+00
 1013.00 271.25 70.00  0.1870E+11  6.50 90.00 ***** ***** 0.1299E+01
