Parameter,Value,TbH,TbV
Density_DH,200.0,230.94937386874875,262.0224581525201
Density_DH,205.0,231.15517337217884,261.9849159693784
Density_DH,210.0,231.32352756725942,261.9146536125808
Density_DH,215.0,231.6761184655622,262.0835623297509
Density_DH,220.0,231.86474905157988,262.06045934539884
Density_DH,225.0,232.03163062607823,262.0216515133983
Density_DH,230.0,232.16854298560813,261.9571236265658
Density_DH,235.0,232.26325046568536,261.8517829308028
Density_DH,240.0,232.6302299096259,262.09699612193026
Density_DH,245.0,232.75164093189983,262.04427685880705
Density_DH,250.0,232.84316464053768,261.9638625981893
Density_DH,255.0,232.89333661170832,261.84097977701947
Density_DH,260.0,233.24346256481266,262.11391650034153
Density_DH,265.0,233.30308874354293,262.0213421179286
Density_DH,270.0,233.3219552812591,261.8846717763657
Density_DH,275.0,233.28718940005254,261.6867760643631
Density_DH,280.0,233.20249733330127,261.43282505862766
Density_DH,285.0,234.31636784559927,262.7954316038236
Density_DH,290.0,234.429826011299,262.82510305315486
Density_DH,295.0,234.53614897008174,262.8544806207235
Density_DH,300.0,234.63550930452172,262.88363881419656
