Parameter,Value,TbH,TbV
Density_SI,400.0,235.78040268182232,261.8312691521663
Density_SI,420.0,236.44081845540342,262.4109291631015
Density_SI,440.0,236.9842469234483,262.9521026972468
Density_SI,460.0,237.41693992295325,263.452779881041
Density_SI,480.0,237.7312049283249,263.9065849006293
Density_SI,500.0,237.9634157546884,264.32524595443886
Density_SI,520.0,238.10433210431168,264.7011933426419
Density_SI,540.0,238.1596355025524,265.03464777105836
Density_SI,560.0,238.13099943777567,265.32593657219843
Density_SI,580.0,238.03337366606536,265.5776744685409
Density_SI,600.0,237.86746078763522,265.78956742759567
Density_SI,620.0,237.63702154695224,265.9632817460351
Density_SI,640.0,237.35010982724927,266.0999288823027
Density_SI,660.0,237.0099978002399,266.2009416885552
Density_SI,680.0,236.62089902919794,266.2683717206963
Density_SI,700.0,236.18826937623834,266.30329869087524
Density_SI,720.0,235.71585907204135,266.30804537384245
Density_SI,740.0,235.20832637014266,266.28423457863664
Density_SI,760.0,234.66970548480484,266.23425459600435
Density_SI,780.0,234.10428508619208,266.1602149752662
Density_SI,800.0,233.51615267548786,266.06448466941436
