Parameter,Value,TbH,TbV
Density_SP,310.0,242.5215519590609,264.20464996437806
Density_SP,317.0,242.09357544263455,264.2400953603529
Density_SP,324.0,241.6582092787881,264.2753705456104
Density_SP,331.0,241.21598670087087,264.3105541025461
Density_SP,338.0,240.76771465456991,264.34622862837625
Density_SP,345.0,240.3131085137067,264.3811347734314
Density_SP,352.0,239.85287583565787,264.415743499627
Density_SP,359.0,239.38759184940028,264.45035718622495
Density_SP,366.0,238.91728713947322,264.48426724187317
Density_SP,373.0,238.44246556972314,264.5176987328591
Density_SP,380.0,237.9635731125521,264.55081753648426
Density_SP,387.0,237.48076242092083,264.5831812679703
Density_SP,394.0,236.99442726756126,264.6149033588505
Density_SP,401.0,236.50492988348,264.6460765313339
Density_SP,408.0,236.01246747831783,264.67640376935424
Density_SP,415.0,235.5173631638807,264.70594311500435
Density_SP,422.0,235.01991895660845,264.73474585782236
Density_SP,429.0,234.52034214825565,264.76260188235716
Density_SP,436.0,234.01890459698808,264.7895404460819
Density_SP,443.0,233.51586180427356,264.81558869702144
Density_SP,450.0,233.0114150950961,264.8405925861876
