Parameter,Value,TbH,TbV
Fraction_volume_water_SI,0.0,232.18712756205065,260.3313860301098
Fraction_volume_water_SI,0.02,244.19928799030671,265.5013124903139
Fraction_volume_water_SI,0.04,247.84468699482326,267.30944540381734
Fraction_volume_water_SI,0.06,249.063478905214,268.0699960756054
Fraction_volume_water_SI,0.08,249.47344990742133,268.36752660855706
Fraction_volume_water_SI,0.1,249.6443847709856,268.5354001721761
Fraction_volume_water_SI,0.12,249.70761512637284,268.6302020781549
Fraction_volume_water_SI,0.14,249.73272800336284,268.71461826842483
Fraction_volume_water_SI,0.16,249.7051013479393,268.7477783128607
Fraction_volume_water_SI,0.18,249.65500491709858,268.7700187387457
Fraction_volume_water_SI,0.2,249.59539190828593,268.79835533143495
Fraction_volume_water_SI,0.22,249.5130844286919,268.80782112420013
Fraction_volume_water_SI,0.24,249.41943905158226,268.8147711686857
Fraction_volume_water_SI,0.26,249.31565043941436,268.8196049795316
Fraction_volume_water_SI,0.28,249.20660731402023,268.8297182395496
Fraction_volume_water_SI,0.3,249.08489086080647,268.8304477832266
Fraction_volume_water_SI,0.32,248.95575887775965,268.82981722658195
Fraction_volume_water_SI,0.34,248.82251650727628,268.83292881791095
Fraction_volume_water_SI,0.36,248.67956535677172,268.8286999357044
Fraction_volume_water_SI,0.38,248.53085105695754,268.8229946170461
Fraction_volume_water_SI,0.4,248.3766740702258,268.81555380450686
