Parameter,Value,TbH,TbV
Fraction_volume_water_SP,0.0,245.5283602932357,266.1204191219196
Fraction_volume_water_SP,0.005,247.85359512582525,268.06718745471903
Fraction_volume_water_SP,0.01,249.1632501508445,269.0838669860639
Fraction_volume_water_SP,0.015,249.9949171984508,269.78120041748247
Fraction_volume_water_SP,0.02,250.5097818925559,270.27706610471904
Fraction_volume_water_SP,0.025,250.81068810147684,270.6435323266376
Fraction_volume_water_SP,0.03,250.95539940647987,270.904132725564
Fraction_volume_water_SP,0.035,250.99444624316817,271.0963521983099
Fraction_volume_water_SP,0.04,250.9594689467886,271.239910233128
Fraction_volume_water_SP,0.045,250.87233920428235,271.3483808219217
Fraction_volume_water_SP,0.05,250.74826882434257,271.4313127161089
Fraction_volume_water_SP,0.055,250.59786998554284,271.4954795948183
Fraction_volume_water_SP,0.06,250.42857120524457,271.5457211257887
Fraction_volume_water_SP,0.065,250.24559510062772,271.585520688506
Fraction_volume_water_SP,0.07,250.05263399540317,271.61740538495206
Fraction_volume_water_SP,0.075,249.85231656874964,271.64322423759006
Fraction_volume_water_SP,0.08,249.64606484380892,271.6646051305861
Fraction_volume_water_SP,0.085,249.43611073094112,271.6820049721447
Fraction_volume_water_SP,0.09,249.22308190402455,271.6964890379158
Fraction_volume_water_SP,0.095,249.007712751245,271.7086399496695
Fraction_volume_water_SP,0.1,248.7905584412295,271.7189022312979
