Parameter,Value,TbH,TbV
Temperature_SP,263.15,230.73973352259844,261.8130180685953
Temperature_SP,263.65,230.74776696725053,261.82168645019874
Temperature_SP,264.15,230.75602285632365,261.8305173334713
Temperature_SP,264.65,230.7645064586065,261.83951477413467
Temperature_SP,265.15,230.77322317636268,261.8486829367473
Temperature_SP,265.65,230.78217854861538,261.8580260974847
Temperature_SP,266.15,230.79137825454058,261.8675486470761
Temperature_SP,266.65,230.800828116851,261.87725509367925
Temperature_SP,267.15,230.81053410533846,261.8871500659594
Temperature_SP,267.65,230.82050234044354,261.8972383161633
Temperature_SP,268.15,230.83073909691308,261.90752472327506
Temperature_SP,268.65,230.84125080757102,261.91801429631977
Temperature_SP,269.15,230.85204406710443,261.92871217755714
Temperature_SP,269.65,230.86312563603977,261.9396236459917
Temperature_SP,270.15,230.8745024446688,261.950754120818
Temperature_SP,270.65,230.88618159718405,261.9621091649179
Temperature_SP,271.15,230.89817037581273,261.9736944885842
Temperature_SP,271.65,230.9104762450832,261.98551595313853
Temperature_SP,272.15,230.92310685619856,261.99757957485605
Temperature_SP,272.65,230.93607005145228,262.0098915287208
Temperature_SP,273.15,230.94937386874875,262.0224581525201
