Parameter,Value,TbH,TbV
Thickness_SP,0.0,250.79841714447952,267.52091290215253
Thickness_SP,0.01,246.60341549116941,267.3893274760992
Thickness_SP,0.02,246.45391646583758,267.20370209582507
Thickness_SP,0.03,246.31738877555452,267.03701600916696
Thickness_SP,0.04,246.18994858953252,266.8838313817951
Thickness_SP,0.05,246.0692740341907,266.74081072238505
Thickness_SP,0.06,245.95386988589638,266.60576168163914
Thickness_SP,0.07,245.84271622771624,266.47716570440076
Thickness_SP,0.08,245.73508493478752,266.3539254739319
Thickness_SP,0.09,245.6304367791518,266.2352203671888
Thickness_SP,0.1,245.5283602932357,266.1204191219196
Thickness_SP,0.11,245.4285336438101,266.0090246187577
Thickness_SP,0.12,245.33069986024336,265.90063759256213
Thickness_SP,0.13,245.23465016334904,265.79493197663453
Thickness_SP,0.14,245.14021239909144,265.6916376590953
Thickness_SP,0.15,245.0472427982337,265.5905281140178
Thickness_SP,0.16,244.95561996714386,265.49141132892885
Thickness_SP,0.17,244.8652404149521,265.39412301782653
Thickness_SP,0.18,244.77601516296713,265.29852145387173
Thickness_SP,0.19,244.68786713284163,265.20448347313896
Thickness_SP,0.2,244.60072910512795,265.1119013404773
