Parameter,Value,TbH,TbV
Fraction_volume_water_DH,0.01,224.45423036671167,247.42364536330584
Fraction_volume_water_DH,0.0145,225.13870748252432,247.8888679543377
Fraction_volume_water_DH,0.019000000000000003,225.79309839519198,248.33491473098272
Fraction_volume_water_DH,0.0235,226.42332824526426,248.7682581097635
Fraction_volume_water_DH,0.028000000000000004,227.03257144894917,249.1917795143593
Fraction_volume_water_DH,0.0325,227.622108924335,249.60597492515407
Fraction_volume_water_DH,0.037000000000000005,228.19242693600384,250.01043399724418
Fraction_volume_water_DH,0.0415,229.22019132542482,251.09728147620052
Fraction_volume_water_DH,0.046000000000000006,229.78266667167043,251.52123638700047
Fraction_volume_water_DH,0.05050000000000001,230.32188420465175,251.92660682279202
Fraction_volume_water_DH,0.05500000000000001,230.83887450312565,252.31459225785008
Fraction_volume_water_DH,0.059500000000000004,231.33496200421476,252.68654245395908
Fraction_volume_water_DH,0.064,231.81145821622468,253.04373491291386
Fraction_volume_water_DH,0.0685,232.2695920793534,253.3873277356356
Fraction_volume_water_DH,0.073,232.71049317197705,253.71835362793644
Fraction_volume_water_DH,0.0775,233.1351917151747,254.03772688756592
Fraction_volume_water_DH,0.082,233.5446246252583,254.3462546301551
Fraction_volume_water_DH,0.08650000000000001,233.93964367054997,254.6446490162544
Fraction_volume_water_DH,0.09100000000000001,234.32102410116806,254.93353916635883
Fraction_volume_water_DH,0.0955,234.68947302555864,255.21348221072816
Fraction_volume_water_DH,0.1,235.0456372013747,255.48497325041242
