Parameter,Value,TbH,TbV
Thickness_DH,0.0,235.21125005680386,263.5940226120997
Thickness_DH,0.005,242.3476821403688,262.0070469130441
Thickness_DH,0.01,241.26926184145313,260.8175262707
Thickness_DH,0.015,240.27178520028093,259.7268665298778
Thickness_DH,0.02,239.38578656927658,258.7619581137128
Thickness_DH,0.025,238.61461023391058,257.9244282644879
Thickness_DH,0.03,237.95154535976872,257.2062406704183
Thickness_DH,0.035,237.3860911510229,256.59560560925974
Thickness_DH,0.04,236.906716141835,256.0796976474716
Thickness_DH,0.045,236.50214315645343,255.64597885671708
Thickness_DH,0.05,236.16193390420275,255.28282867026337
Thickness_DH,0.055,235.8767207929872,254.97980764396013
Thickness_DH,0.06,235.6382572291493,254.7277239941136
Thickness_DH,0.065,235.4393757637035,254.51859534240188
Thickness_DH,0.07,235.27390231504992,254.34555791581704
Thickness_DH,0.075,235.1365528781499,254.20275308491577
Thickness_DH,0.08,235.02282710614926,254.08520821371306
Thickness_DH,0.085,234.92890636335244,253.9887211836162
Thickness_DH,0.09,234.85155997172842,253.90975342862436
Thickness_DH,0.095,234.7880611591281,253.84533363544816
Thickness_DH,0.1,234.736112972005,253.7929726945461
