Parameter,Value,TbH,TbV
Thickness_DH,0.0,221.6272663793099,262.65763537744016
Thickness_DH,0.005,244.04530746087562,261.9155807449825
Thickness_DH,0.01,244.31269659681155,262.0614565363477
Thickness_DH,0.015,244.57110440393382,262.2030173903193
Thickness_DH,0.02,244.82082064421877,262.34034260115703
Thickness_DH,0.025,245.06213888949924,262.4735340080116
Thickness_DH,0.03,245.29534843836527,262.60270368104386
Thickness_DH,0.035,245.52073108482114,262.7279677765251
Thickness_DH,0.04,245.73855983028614,262.8494432735552
Thickness_DH,0.045,245.9490984462526,262.9672461679097
Thickness_DH,0.05,246.1526014331759,263.0814904487204
Thickness_DH,0.055,246.34931417052516,263.19228751692094
Thickness_DH,0.06,246.53947315977118,263.2997458626875
Thickness_DH,0.065,246.723306310622,263.4039708993167
Thickness_DH,0.07,246.90103324478793,263.5050648939538
Thickness_DH,0.075,247.07286560322387,263.60312695872324
Thickness_DH,0.08,247.23900734943774,263.6982530805103
Thickness_DH,0.085,247.3996550650049,263.79053617469924
Thickness_DH,0.09,247.554998234859,263.8800661542892
Thickness_DH,0.095,247.70521952197151,263.96693000785973
Thickness_DH,0.1,247.8504950306137,264.05121188296175
