Parameter,Value,TbH,TbV
Fraction_volume_water_SP,0.0,240.89095829863382,256.0519361773376
Fraction_volume_water_SP,0.002,242.26214314576188,257.2332122717826
Fraction_volume_water_SP,0.004,243.49228591065537,258.2946576335668
Fraction_volume_water_SP,0.006,244.60363267516723,259.25576529792113
Fraction_volume_water_SP,0.008,245.61048143229678,260.1292753702764
Fraction_volume_water_SP,0.01,246.5238801034694,260.9250374518868
Fraction_volume_water_SP,0.012,247.35294385873584,261.6511620611009
Fraction_volume_water_SP,0.014,248.10554436633024,262.31468277530826
Fraction_volume_water_SP,0.016,248.7887358710448,262.9219857684339
Fraction_volume_water_SP,0.018000000000000002,249.40902452414824,263.47908031700956
Fraction_volume_water_SP,0.02,249.9725068298902,263.9917148387124
Fraction_volume_water_SP,0.022,250.4848710102992,264.4653141203489
Fraction_volume_water_SP,0.024,250.95126273753928,264.90473362084043
Fraction_volume_water_SP,0.026000000000000002,251.3760722010976,265.31391304472965
Fraction_volume_water_SP,0.028,251.76277859190424,265.69562839842746
Fraction_volume_water_SP,0.03,252.1139998368661,266.0515560578293
Fraction_volume_water_SP,0.032,252.43176279050007,266.3826641796923
Fraction_volume_water_SP,0.034,252.9103565000324,266.9746590383402
Fraction_volume_water_SP,0.036000000000000004,253.15633574718277,267.24372057673475
Fraction_volume_water_SP,0.038,253.37377163103173,267.48999753348437
Fraction_volume_water_SP,0.04,253.5648920614024,267.7152937365052
