Parameter,Value,TbH,TbV
Temperature_SI_1,268.15,239.41608406345446,258.27069328680466
Temperature_SI_1,268.29999999999995,239.42589145431583,258.2808234201461
Temperature_SI_1,268.45,239.52517243040072,258.37833017924817
Temperature_SI_1,268.59999999999997,239.6279793809125,258.5093245790502
Temperature_SI_1,268.75,239.5624723645062,258.4412798774851
Temperature_SI_1,268.9,239.52057277641455,258.38239586551504
Temperature_SI_1,269.04999999999995,239.4803059434506,258.3342563468213
Temperature_SI_1,269.2,239.53387326771266,258.38706899075316
Temperature_SI_1,269.34999999999997,239.54057887209052,258.39579458119334
Temperature_SI_1,269.5,239.58228724729412,258.4617789557646
Temperature_SI_1,269.65,239.50938081583539,258.3779163241263
Temperature_SI_1,269.79999999999995,239.54684769713438,258.40435002721154
Temperature_SI_1,269.95,239.51999236475555,258.3808850205868
Temperature_SI_1,270.09999999999997,239.58420263297413,258.4547112284147
Temperature_SI_1,270.25,239.5390159164204,258.4088079708901
Temperature_SI_1,270.4,239.48010293073295,258.3325919405784
Temperature_SI_1,270.54999999999995,239.65036902841035,258.52350011139333
Temperature_SI_1,270.7,239.46238534094718,258.3017649121291
Temperature_SI_1,270.84999999999997,239.63279848164223,258.51916897464207
Temperature_SI_1,271.0,239.56382875434886,258.42161226560523
Temperature_SI_1,271.15,239.50552731054432,258.3620642095476
