Parameter,Value,TbH,TbV
Temperature_SP,259.15,239.2432164027736,258.08639405261977
Temperature_SP,259.84999999999997,239.2611197856511,258.1055331723272
Temperature_SP,260.54999999999995,239.27950859796707,258.1250849379942
Temperature_SP,261.25,239.2984040274541,258.14507299139854
Temperature_SP,261.95,239.3178248837641,258.1655165393877
Temperature_SP,262.65,239.33778929985274,258.1864332406536
Temperature_SP,263.34999999999997,239.3583153395894,258.2078402272897
Temperature_SP,264.04999999999995,239.37942127443384,258.22975456242926
Temperature_SP,264.75,239.40112573174164,258.25219347925724
Temperature_SP,265.45,239.42344778486876,258.27517452105707
Temperature_SP,266.15,239.44640701427122,258.29871563151147
Temperature_SP,266.84999999999997,239.47002355287165,258.32283521814486
Temperature_SP,267.54999999999995,239.49431812245822,258.34755220034987
Temperature_SP,268.25,239.51931206495536,258.37288604815933
Temperature_SP,268.95,239.54502737047883,258.398856815393
Temperature_SP,269.65,239.57148670351197,258.425485169301
Temperature_SP,270.34999999999997,239.59871342797405,258.45279241787443
Temperature_SP,271.04999999999995,239.626731631684,258.48080053586636
Temperature_SP,271.75,239.6555661505708,258.50953218991725
Temperature_SP,272.45,239.68524259276577,258.5390107632876
Temperature_SP,273.15,239.71578736290456,258.5692603803495
