Parameter,Value,TbH,TbV
Thickness_SI_1,0.0,238.3966287748356,253.252542340451
Thickness_SI_1,0.005,239.2590443449186,254.1228087604685
Thickness_SI_1,0.01,239.2590281960717,254.12279354107602
Thickness_SI_1,0.015,239.25901982925927,254.12278566658003
Thickness_SI_1,0.02,239.2590154090499,254.1227815154063
Thickness_SI_1,0.025,239.25901305161977,254.12277930679136
Thickness_SI_1,0.03,239.2590117881131,254.12277812595332
Thickness_SI_1,0.035,239.2590111089467,254.12277749275697
Thickness_SI_1,0.04,239.25901074316062,254.12277715252446
Thickness_SI_1,0.045,239.25901054584517,254.1227769694069
Thickness_SI_1,0.05,239.2590104392649,254.12277687071904
Thickness_SI_1,0.055,239.2590103816245,254.1227768174554
Thickness_SI_1,0.06,239.25901035041753,254.1227767886775
Thickness_SI_1,0.065,239.25901033350303,254.1227767731161
Thickness_SI_1,0.07,239.25901032432878,254.12277676468884
Thickness_SI_1,0.075,239.2590103193474,254.1227767601191
Thickness_SI_1,0.08,239.25901031663898,254.12277675764415
Thickness_SI_1,0.085,239.25901031516284,254.12277675629414
Thickness_SI_1,0.09,239.25901031436493,254.1227767555644
Thickness_SI_1,0.095,239.25901031392442,254.12277675516353
Thickness_SI_1,0.1,239.2590103136856,254.1227767549497
