Parameter,Value,TbH,TbV
Density_DH,200.0,235.90173941688772,265.64487230979705
Density_DH,205.0,236.2544487688105,265.63332873859287
Density_DH,210.0,236.63047861557243,265.6530723649548
Density_DH,215.0,236.99277026548668,265.66779535723043
Density_DH,220.0,237.34286865510876,265.67984010146677
Density_DH,225.0,237.65453356009033,265.6665135860385
Density_DH,230.0,237.99529870276695,265.6918818418365
Density_DH,235.0,238.3233742041514,265.71282946149415
Density_DH,240.0,238.6392409114909,265.73019269273806
Density_DH,245.0,238.9429632550234,265.7442347458141
Density_DH,250.0,239.22111544708204,265.7471457242196
Density_DH,255.0,239.5163467020509,265.77302282534043
Density_DH,260.0,239.7993588495252,265.7945449806306
Density_DH,265.0,240.07105696861737,265.8129603063668
Density_DH,270.0,240.31566647894175,265.81731142340897
Density_DH,275.0,240.57899103427124,265.8459649880164
Density_DH,280.0,240.83052324513955,265.8705221213254
Density_DH,285.0,241.07112177808315,265.89174133227823
Density_DH,290.0,241.2998128455076,265.90853367083156
Density_DH,295.0,241.51826531651545,265.92923739427187
Density_DH,300.0,241.73957847797598,265.9555889651183
