Parameter,Value,TbH,TbV
Density_SI,400.0,236.62761216512916,262.4143641444433
Density_SI,420.0,237.2458642412871,262.87692594197597
Density_SI,440.0,237.77559506917387,263.31638918095393
Density_SI,460.0,238.21908474858725,263.7289228465536
Density_SI,480.0,238.57965881012223,264.11208139171924
Density_SI,500.0,238.86105653532522,264.46430338289855
Density_SI,520.0,239.06727450491772,264.78471039738696
Density_SI,540.0,239.20246221198383,265.07295706475753
Density_SI,560.0,239.26564360986984,265.3276191099954
Density_SI,580.0,239.27268858984672,265.55314300067477
Density_SI,600.0,239.22111544708204,265.7471457242196
Density_SI,620.0,239.11483010760196,265.910466239623
Density_SI,640.0,238.95669362095353,266.0443994514645
Density_SI,660.0,238.7529865524416,266.1496909919887
Density_SI,680.0,238.5058543278079,266.2273495516035
Density_SI,700.0,238.21869994356538,266.27899171128286
Density_SI,720.0,237.89562386563742,266.3055177863328
Density_SI,740.0,237.53970810251485,266.3087068862599
Density_SI,760.0,237.15462167663293,266.2900126954432
Density_SI,780.0,236.74370596028288,266.25129457411094
Density_SI,800.0,236.31044629366644,266.1943440606978
