Parameter,Value,TbH,TbV
Density_SP,310.0,243.14114802575884,265.5144357398836
Density_SP,317.0,242.7076753400219,265.5419005664416
Density_SP,324.0,242.26697966935646,265.5694228582892
Density_SP,331.0,241.8196631687385,265.5972055861434
Density_SP,338.0,241.36582541783164,265.624644743135
Density_SP,345.0,240.9060158346552,265.65190649956145
Density_SP,352.0,240.4407143315748,265.67907862397743
Density_SP,359.0,239.97015035899102,265.7058189994358
Density_SP,366.0,239.4947587591369,265.73218757684026
Density_SP,373.0,239.01494073521732,265.7582180517178
Density_SP,380.0,238.53095957623682,265.7836898256855
Density_SP,387.0,238.04317947234864,265.8086180895164
Density_SP,394.0,237.55194350784853,265.83300933574753
Density_SP,401.0,237.05751371921772,265.8567088310524
Density_SP,408.0,236.56020250065058,265.87971164847465
Density_SP,415.0,236.06030635704585,265.90201045787063
Density_SP,422.0,235.55807199068366,265.9234905872774
Density_SP,429.0,235.05377000476582,265.94413836229455
Density_SP,436.0,234.54765776258532,265.9639398661123
Density_SP,443.0,234.03996109784651,265.9828072214161
Density_SP,450.0,233.53091511535868,266.0007236685797
