Parameter,Value,TbH,TbV
Fraction_volume_water_SI,0.001,237.4475902698394,264.44878728542125
Fraction_volume_water_SI,0.020950000000000003,238.7542602552401,265.37351815289463
Fraction_volume_water_SI,0.040900000000000006,239.53379848836386,266.1362449414251
Fraction_volume_water_SI,0.06085000000000001,239.85605548489437,266.75654211710616
Fraction_volume_water_SI,0.08080000000000001,239.78285345721648,267.2350136438564
Fraction_volume_water_SI,0.10075,239.38096421985608,267.5746488410879
Fraction_volume_water_SI,0.12070000000000002,238.71732737210448,267.7797747231884
Fraction_volume_water_SI,0.14065000000000003,237.8478858095517,267.8554489263107
Fraction_volume_water_SI,0.16060000000000002,236.81582902207185,267.8058812994457
Fraction_volume_water_SI,0.18055000000000002,235.6544288218025,267.63404525963
Fraction_volume_water_SI,0.2005,234.39029029719615,267.3434913654161
Fraction_volume_water_SI,0.22045000000000003,233.0472936026101,266.9383027492492
Fraction_volume_water_SI,0.24040000000000003,231.647078245369,266.4226320699866
Fraction_volume_water_SI,0.26035,230.20831677764917,265.7993138515406
Fraction_volume_water_SI,0.28030000000000005,227.82154214428436,265.1928299897218
Fraction_volume_water_SI,0.30025,226.10586779431327,264.50016387076124
Fraction_volume_water_SI,0.32020000000000004,224.30496013015943,263.7102696143609
Fraction_volume_water_SI,0.34015000000000006,222.43789856279994,262.8223627640398
Fraction_volume_water_SI,0.36010000000000003,220.56449501450382,261.9037321829172
Fraction_volume_water_SI,0.38005000000000005,218.6280462819681,260.88821633626065
Fraction_volume_water_SI,0.4,216.65588659000707,259.7847527653535
