Parameter,Value,TbH,TbV
Fraction_volume_water_SP,0.0,237.2208447144576,264.89464297038535
Fraction_volume_water_SP,0.005,239.22620983505308,265.7589005236698
Fraction_volume_water_SP,0.01,240.94494308676414,266.52603228155175
Fraction_volume_water_SP,0.015,242.405891560106,267.20972034135707
Fraction_volume_water_SP,0.02,243.63260868033595,267.81836922512355
Fraction_volume_water_SP,0.025,244.64681857612229,268.35887939333395
Fraction_volume_water_SP,0.03,245.46907967025382,268.8374370741851
Fraction_volume_water_SP,0.035,246.11894515424706,269.259728288721
Fraction_volume_water_SP,0.04,246.614938134534,269.6311152811699
Fraction_volume_water_SP,0.045,246.97449786660326,269.9566218636637
Fraction_volume_water_SP,0.05,247.2139008681038,270.24095876412093
Fraction_volume_water_SP,0.055,247.34821984379442,270.4885027793327
Fraction_volume_water_SP,0.06,247.39124890334588,270.7033208332461
Fraction_volume_water_SP,0.065,247.3554999148205,270.88914958101407
Fraction_volume_water_SP,0.07,247.25219509219477,271.0494028050452
Fraction_volume_water_SP,0.075,247.09131589835152,271.187168328614
Fraction_volume_water_SP,0.08,246.88161912851757,271.3052309205013
Fraction_volume_water_SP,0.085,246.63072312263444,271.40607827488213
Fraction_volume_water_SP,0.09,246.34517951819032,271.4919214073991
Fraction_volume_water_SP,0.095,246.03058907403894,271.5647102728731
Fraction_volume_water_SP,0.1,245.6916682979505,271.6261615140116
