Parameter,Value,TbH,TbV
Radius_DH,5e-05,239.90395356087205,266.50522306812695
Radius_DH,7.25e-05,239.89592109351167,266.4962262730327
Radius_DH,9.5e-05,239.88130446553427,266.4798591860903
Radius_DH,0.00011749999999999998,239.85841810237534,266.4542463410062
Radius_DH,0.00014,239.82576299455013,266.41773413437215
Radius_DH,0.0001625,239.78201868676496,266.3688846901554
Radius_DH,0.00018499999999999997,239.72604099260786,266.3064731899743
Radius_DH,0.00020749999999999998,239.65686833472552,266.2294914331587
Radius_DH,0.00022999999999999998,239.57373516761845,266.1371563584761
Radius_DH,0.0002525,239.47608853679546,266.0289203587154
Radius_DH,0.000275,239.36360300942135,265.9044796445511
Radius_DH,0.0002975,239.23618975223445,265.76377733299296
Radius_DH,0.00031999999999999997,239.09399704920156,265.60699909350376
Radius_DH,0.0003425,238.93740143143285,265.4345606738752
Radius_DH,0.000365,238.76699023051688,265.24708799751613
Radius_DH,0.0003875,238.58353740970236,265.0453914617488
Radius_DH,0.00041,238.38797493112958,264.83043648143405
Radius_DH,0.0004325,238.18136183736007,264.6033123013569
Radius_DH,0.000455,237.9648528823791,264.3652008079419
Radius_DH,0.0004775,237.7396681199244,264.1173466667643
Radius_DH,0.0005,237.50706445409904,263.86102970664496
