Parameter,Value,TbH,TbV
Radius_SP,5e-05,239.22111544708204,265.7471457242196
Radius_SP,6.75e-05,239.21700170885336,265.74215658848516
Radius_SP,8.5e-05,239.2101026101066,265.73379127084314
Radius_SP,0.0001025,239.1997026882258,265.7211863210127
Radius_SP,0.00011999999999999999,239.18508620010707,265.7034822122769
Radius_SP,0.00013749999999999998,239.16553376251696,265.6798212260352
Radius_SP,0.000155,239.1403183031902,265.64934467692683
Radius_SP,0.0001725,239.10870065735284,265.6111897489063
Radius_SP,0.00018999999999999998,239.06992519473178,265.56448625567504
Radius_SP,0.00020749999999999998,239.02321588928095,265.5083536647238
Radius_SP,0.00022499999999999997,238.96777324112045,265.44189872435925
Radius_SP,0.00024249999999999999,238.9027724256677,265.364214010091
Radius_SP,0.00026,238.82736297729966,265.2743776551777
Radius_SP,0.00027749999999999997,238.7406702196394,265.1714544583384
Radius_SP,0.000295,238.6417985393942,265.0544984720943
Radius_SP,0.0003125,238.5298364765171,264.92255707748217
Radius_SP,0.00033,238.4038634822042,264.7746764547309
Radius_SP,0.0003475,238.26295809084627,264.6099082727734
Radius_SP,0.000365,238.10620717125803,264.4273173519131
Radius_SP,0.0003825,237.93271587236217,264.2259900078995
Radius_SP,0.0004,237.74161786248757,264.005042764945
