Parameter,Value,TbH,TbV
Salinity_SP,0.0,239.22004860189855,265.7467168611396
Salinity_SP,0.15,239.2202123282673,265.74678285029637
Salinity_SP,0.3,239.22037480157684,265.7468482673412
Salinity_SP,0.44999999999999996,239.22053600003264,265.74691310711665
Salinity_SP,0.6,239.2206958842079,265.746977359177
Salinity_SP,0.75,239.22085440658014,265.7470410106525
Salinity_SP,0.8999999999999999,239.22101151664992,265.7471040477127
Salinity_SP,1.05,239.22116716389223,265.7471664565026
Salinity_SP,1.2,239.2213212992264,265.74722822352624
Salinity_SP,1.3499999999999999,239.2214738759278,265.74728933595543
Salinity_SP,1.5,239.22162484999464,265.7473497817252
Salinity_SP,1.65,239.22177418033678,265.7474095496195
Salinity_SP,1.7999999999999998,239.22192182879007,265.74746862920625
Salinity_SP,1.95,239.22206776002898,265.7475270109268
Salinity_SP,2.1,239.222211941431,265.74758468596787
Salinity_SP,2.25,239.22235434298918,265.7476416462302
Salinity_SP,2.4,239.22249493705556,265.74769788435543
Salinity_SP,2.55,239.22263369826777,265.7477533936092
Salinity_SP,2.6999999999999997,239.2227706033569,265.7478081678384
Salinity_SP,2.85,239.22290563097587,265.7478622014676
Salinity_SP,3.0,239.22303876158048,265.747915489444
