Parameter,Value,TbH,TbV
Temperature_SI_1,255.0,233.0961361079712,257.8943467575469
Temperature_SI_1,255.85,233.51797424812722,258.3846522359502
Temperature_SI_1,256.7,233.94029766920988,258.87657113979833
Temperature_SI_1,257.55,234.3626730177475,259.36980469217707
Temperature_SI_1,258.4,234.78464274490634,259.8640773115229
Temperature_SI_1,259.25,235.2057033648394,260.35912857149384
Temperature_SI_1,260.1,235.62527286143305,260.8546998638961
Temperature_SI_1,260.95,236.04264124178255,261.3505127055751
Temperature_SI_1,261.8,236.45689409087024,261.8462333472593
Temperature_SI_1,262.65,236.86679178097197,262.34141457012976
Temperature_SI_1,263.5,237.27057324157352,262.8353981201731
Temperature_SI_1,264.35,237.66562612250107,263.327146448781
Temperature_SI_1,265.2,238.0479089364628,263.81494137678914
Temperature_SI_1,266.05,238.41088571202107,264.29581681329756
Temperature_SI_1,266.9,238.74343454400037,264.7644202430273
Temperature_SI_1,267.75,239.02540407715549,265.2105282884979
Temperature_SI_1,268.6,239.21636160524005,265.616604166517
Temperature_SI_1,269.45,239.1921884114328,265.8954460097548
Temperature_SI_1,270.3,238.81477556731727,265.99527175682584
Temperature_SI_1,271.15,237.0774028635735,265.2270735398176
Temperature_SI_1,272.0,230.29189331165398,260.4044971773709
