Parameter,Value,TbH,TbV
Temperature_SP,263.0,238.79458565696956,264.782803682354
Temperature_SP,263.5,238.8219067804,264.84161611159243
Temperature_SP,264.0,238.8483940211745,264.89909521572196
Temperature_SP,264.5,238.87408328719926,264.9552781341386
Temperature_SP,265.0,238.89901001877593,265.01020195568
Temperature_SP,265.5,238.92320917233292,265.06390366048305
Temperature_SP,266.0,238.9467152080051,265.1164200689313
Temperature_SP,266.5,238.96956208108736,265.16778779702497
Temperature_SP,267.0,238.9917832365208,265.2180432178882
Temperature_SP,267.5,239.0134116064674,265.2672224283025
Temperature_SP,268.0,239.0344796104329,265.3153612205036
Temperature_SP,268.5,239.0550191575978,265.36249505815147
Temperature_SP,269.0,239.07506165136087,265.40865905655545
Temperature_SP,269.5,239.09463799552532,265.4538879664154
Temperature_SP,270.0,239.11377860219793,265.4982161610569
Temperature_SP,270.5,239.13251340100177,265.54167762653583
Temperature_SP,271.0,239.1508718496096,265.58430595452757
Temperature_SP,271.5,239.16888294522394,265.62613433776374
Temperature_SP,272.0,239.18657523708902,265.66719556753134
Temperature_SP,272.5,239.20397683976918,265.70752203331807
Temperature_SP,273.0,239.22111544708204,265.7471457242196
