Parameter,Value,TbH,TbV
Thickness_DH,0.0,220.87038514837508,266.85200181300536
Thickness_DH,0.005,239.2904074729316,266.03584754645226
Thickness_DH,0.01,239.22111544708204,265.7471457242196
Thickness_DH,0.015,239.14313261614967,265.4604113339482
Thickness_DH,0.02,239.05956233435828,265.1779199157257
Thickness_DH,0.025,238.972241265928,264.9008725615031
Thickness_DH,0.03,238.8824446004238,264.6300066207334
Thickness_DH,0.035,238.79112149694487,264.36579909465604
Thickness_DH,0.04,238.69900482517056,264.1085592016619
Thickness_DH,0.045,238.60667294581208,263.85847931642536
Thickness_DH,0.05,238.51458862694477,263.6156665519418
Thickness_DH,0.055,238.42312537788993,263.38016392198847
Thickness_DH,0.06,238.33258616886286,263.1519652960736
Thickness_DH,0.065,238.24321723019784,262.9310263801707
Thickness_DH,0.07,238.15521851524596,262.7172730147471
Thickness_DH,0.075,238.06875181525731,262.51060758697895
Thickness_DH,0.08,237.98394717120547,262.3109140737874
Thickness_DH,0.085,237.90090801930495,262.1180620642865
Thickness_DH,0.09,237.81971537434006,261.93191000461707
Thickness_DH,0.095,237.74043126870518,261.7523078393404
Thickness_DH,0.1,237.6631016065934,261.5790991771572
