Parameter,Value,TbH,TbV
Thickness_SI,0.0,202.26184725813596,262.3043656762858
Thickness_SI,0.015,238.94236325906766,265.6405341514818
Thickness_SI,0.03,239.69098526701418,265.9420193930789
Thickness_SI,0.045,240.22640120084444,266.1944419425607
Thickness_SI,0.06,240.61591848275677,266.405968800267
Thickness_SI,0.075,240.90366258688297,266.58279007813957
Thickness_SI,0.09,241.1192276071696,266.73011231794067
Thickness_SI,0.105,241.28279222720417,266.8524450449923
Thickness_SI,0.12,241.40832395196813,266.95370906905845
Thickness_SI,0.135,241.50563578081233,267.03729713540446
Thickness_SI,0.15,241.58172580967496,267.10612372560917
Thickness_SI,0.16499999999999998,241.64165975627373,267.1626735771655
Thickness_SI,0.18,241.6891585454153,267.2090501528414
Thickness_SI,0.195,241.72699379489123,267.2470229976477
Thickness_SI,0.21,241.75725711894108,267.27807263134906
Thickness_SI,0.22499999999999998,241.78154582777825,267.3034319448361
Thickness_SI,0.24,241.8010927132331,267.3241235022834
Thickness_SI,0.255,241.81685804980262,267.34099252951444
Thickness_SI,0.27,241.82959576737125,267.3547356474171
Thickness_SI,0.285,241.83990174492288,267.3659255928885
Thickness_SI,0.3,241.84824955947838,267.37503227509563
