Parameter,Value,TbH,TbV
Fraction_volume_water_DH,0.01,242.20893239861005,262.6416454594374
Fraction_volume_water_DH,0.0145,242.47708681796078,262.7525714494015
Fraction_volume_water_DH,0.019000000000000003,242.7299275648075,262.85097419580165
Fraction_volume_water_DH,0.0235,242.9692498554524,262.93964478294146
Fraction_volume_water_DH,0.028000000000000004,243.19641382289007,263.0205179621258
Fraction_volume_water_DH,0.0325,243.41268369915517,263.09523710382626
Fraction_volume_water_DH,0.037000000000000005,243.61954687663228,263.1655822583887
Fraction_volume_water_DH,0.0415,243.76011404898205,263.1885157232606
Fraction_volume_water_DH,0.046000000000000006,243.9617766995742,263.2704091575031
Fraction_volume_water_DH,0.05050000000000001,244.15861647372128,263.3513443493844
Fraction_volume_water_DH,0.05500000000000001,244.3486846192946,263.42983187060327
Fraction_volume_water_DH,0.059500000000000004,244.53170457967215,263.505737035702
Fraction_volume_water_DH,0.064,244.70784333169112,263.5793014891946
Fraction_volume_water_DH,0.0685,244.87743790498936,263.6508928960271
Fraction_volume_water_DH,0.073,245.04088000834795,263.72089603676187
Fraction_volume_water_DH,0.0775,245.19855318683153,263.7896546762056
Fraction_volume_water_DH,0.082,245.34607459249298,263.8721803387869
Fraction_volume_water_DH,0.08650000000000001,245.49491997322727,263.94651014082046
Fraction_volume_water_DH,0.09100000000000001,245.6403624586654,264.0193799258231
Fraction_volume_water_DH,0.0955,245.7810834146748,264.0909137066954
Fraction_volume_water_DH,0.1,245.91704697895625,264.1612158690279
