Parameter,Value,TbH,TbV
Radius_SI,0.0002,243.98621713138385,264.02468449495717
Radius_SI,0.00022,243.88245936796633,263.92579241571195
Radius_SI,0.00024,243.77072379883427,263.8192266711284
Radius_SI,0.00026000000000000003,243.65266144845168,263.70651011558556
Radius_SI,0.00028,243.5299424885147,263.5891790905493
Radius_SI,0.00030000000000000003,243.404191140178,263.46872624291217
Radius_SI,0.00031999999999999997,243.27693530822742,263.346557144682
Radius_SI,0.00034,243.14957052540672,263.2239597063701
Radius_SI,0.00035999999999999997,243.02333694197247,263.10208482522233
Radius_SI,0.00038,242.89930758162467,262.9819364747234
Radius_SI,0.00039999999999999996,242.77838583228382,262.8643694053734
Radius_SI,0.00042,242.66131009450962,262.7500927124213
Radius_SI,0.00043999999999999996,242.54866362009477,262.63967768666004
Radius_SI,0.00046,242.44088778975774,262.5335685669615
Radius_SI,0.00047999999999999996,242.3382973554944,262.43209503670624
Radius_SI,0.0005,242.24109647104893,262.3354855314529
Radius_SI,0.00052,242.14939462238073,262.24388063877495
Radius_SI,0.00054,242.06322182921036,262.15734606329664
Radius_SI,0.00056,241.98254270783272,262.07588479526896
Radius_SI,0.00058,241.9072691611035,261.9994482564199
Radius_SI,0.0006,241.83727159490263,261.9279463044369
