Parameter,Value,TbH,TbV
Salinity_DH,0.0,242.77248018843304,262.8616248395747
Salinity_DH,0.4,242.7730444142757,262.8618893549265
Salinity_DH,0.8,242.77359252147045,262.86214660323424
Salinity_DH,1.2000000000000002,242.77412455501238,262.86239638428424
Salinity_DH,1.6,242.77464054088742,262.86263848619893
Salinity_DH,2.0,242.77514051190903,262.8628727297443
Salinity_DH,2.4000000000000004,242.7756245125713,262.86309897349753
Salinity_DH,2.8000000000000003,242.77609259856735,262.86331710985985
Salinity_DH,3.2,242.77654483502025,262.8635270594776
Salinity_DH,3.6,242.77698129460143,262.8637287660112
Salinity_DH,4.0,242.77740205588464,262.86392219162406
Salinity_DH,4.4,242.77780720194792,262.8641073134266
Salinity_DH,4.800000000000001,242.77819681922398,262.86428412053453
Salinity_DH,5.2,242.7785709966466,262.8644526117253
Salinity_DH,5.6000000000000005,242.77892982486983,262.86461279359804
Salinity_DH,6.0,242.7792733957164,262.86476467903606
Salinity_DH,6.4,242.77960180171652,262.8649082859978
Salinity_DH,6.800000000000001,242.7799151357298,262.8650436365497
Salinity_DH,7.2,242.7802134906526,262.86517075604706
Salinity_DH,7.6000000000000005,242.78049695920188,262.86528967247915
Salinity_DH,8.0,242.78076563371962,262.8654004159306
