Parameter,Value,TbH,TbV
Salinity_SI,3.0,242.7753843802084,262.8612272683683
Salinity_SI,4.35,242.77748328701182,262.863418530583
Salinity_SI,5.7,242.77927985263878,262.86531871449023
Salinity_SI,7.050000000000001,242.78077807665835,262.86693388117874
Salinity_SI,8.4,242.78198305756948,262.8682703058537
Salinity_SI,9.75,242.7829002815643,262.8693341858889
Salinity_SI,11.100000000000001,242.78353527502824,262.87013151393165
Salinity_SI,12.450000000000001,242.78389344031586,262.87066803664396
Salinity_SI,13.8,242.78397999160066,262.8709492627722
Salinity_SI,15.15,242.78379995131857,262.87098050395866
Salinity_SI,16.5,242.78335818855442,262.8707669415928
Salinity_SI,17.85,242.7826594914307,262.870313718161
Salinity_SI,19.200000000000003,242.78170867214115,262.8696260552604
Salinity_SI,20.55,242.78051070738195,262.8687094031331
Salinity_SI,21.900000000000002,242.7790709210981,262.867569629517
Salinity_SI,23.25,242.77739522014494,262.8662132590237
Salinity_SI,24.6,242.77549039836734,262.8646477782515
Salinity_SI,25.950000000000003,242.7733645308058,262.8628820279175
Salinity_SI,27.3,242.7710274880761,262.86092671089324
Salinity_SI,28.650000000000002,242.7684916129025,262.85879505609694
Salinity_SI,30.0,242.7657726172422,262.85650369383643
