Parameter,Value,TbH,TbV
Salinity_SI_1,6.0,242.84857089459595,262.9163733685957
Salinity_SI_1,6.25,242.8452974665466,262.91497245697707
Salinity_SI_1,6.5,242.83210501426157,262.9043303673715
Salinity_SI_1,6.75,242.78030844934827,262.8555984672645
Salinity_SI_1,7.0,242.74365568687503,262.81760078934286
Salinity_SI_1,7.25,242.77634437976937,262.86175489474516
Salinity_SI_1,7.5,242.8656799070534,262.9511458780133
Salinity_SI_1,7.75,242.82661934118818,262.91230867380017
Salinity_SI_1,8.0,242.77838583228382,262.8643694053734
Salinity_SI_1,8.25,242.7328687010233,262.8162888615494
Salinity_SI_1,8.5,242.68865872613426,262.7681583295913
Salinity_SI_1,8.75,242.81542726673763,262.90376543942546
Salinity_SI_1,9.0,242.82961493632462,262.9334474547834
Salinity_SI_1,9.25,242.76993463473448,262.8752342300377
Salinity_SI_1,9.5,242.71408446034013,262.81542097040847
Salinity_SI_1,9.75,242.6625611410324,262.7597075577829
Salinity_SI_1,10.0,242.77549656598632,262.8736044861714
Salinity_SI_1,10.25,242.76208468945865,262.86233013081755
Salinity_SI_1,10.5,242.7617189731938,262.87043601817277
Salinity_SI_1,10.75,242.74114647349668,262.85880059950654
Salinity_SI_1,11.0,242.6787402248828,262.7914743012196
