Parameter,Value,TbH,TbV
Temperature_DH,263.0,242.30206502640362,262.3059222622155
Temperature_DH,263.5,242.33006912007372,262.3378292745087
Temperature_DH,264.0,242.3576383253891,262.36934366601287
Temperature_DH,264.5,242.38476872504867,262.40045800965856
Temperature_DH,265.0,242.41145711654156,262.43116556090735
Temperature_DH,265.5,242.43770101166882,262.461460271825
Temperature_DH,266.0,242.4634986322854,262.4913368006396
Temperature_DH,266.5,242.48884890261488,262.5207905170513
Temperature_DH,267.0,242.51375143837834,262.54981750359536
Temperature_DH,267.5,242.53820653316595,262.57841455329594
Temperature_DH,268.0,242.5622151422031,262.6065791639299
Temperature_DH,268.5,242.58577886392908,262.6343095292446
Temperature_DH,269.0,242.608899919581,262.6616045272893
Temperature_DH,269.5,242.63158113113616,262.6884637062968
Temperature_DH,270.0,242.6538258977582,262.7148872682558
Temperature_DH,270.5,242.6756381711209,262.740876050573
Temperature_DH,271.0,242.69702242971945,262.76643150592463
Temperature_DH,271.5,242.7179836524502,262.79155568071906
Temperature_DH,272.0,242.73852729167297,262.8162511922485
Temperature_DH,272.5,242.75865924590286,262.8405212048773
Temperature_DH,273.0,242.77838583228382,262.8643694053734
