Parameter,Value,TbH,TbV
Temperature_SI,267.0,241.4793815553303,261.3330282523422
Temperature_SI,267.3,241.56066011028673,261.4286416142553
Temperature_SI,267.6,241.6415328035694,261.52380305193185
Temperature_SI,267.9,241.72199478103292,261.6185067489442
Temperature_SI,268.2,241.80204139086803,261.7127471132712
Temperature_SI,268.5,241.8816681850088,261.80651877940335
Temperature_SI,268.8,241.96087092050084,261.8998166103143
Temperature_SI,269.1,242.03964556061734,261.99263569916883
Temperature_SI,269.4,242.11798827584718,262.08497137084044
Temperature_SI,269.7,242.1958954446284,262.1768191831267
Temperature_SI,270.0,242.27336365395698,262.26817492773273
Temperature_SI,270.3,242.3503896997341,262.35903463104444
Temperature_SI,270.6,242.4269705869392,262.4493945545844
Temperature_SI,270.9,242.5031035295999,262.53925119529606
Temperature_SI,271.2,242.57878595053228,262.62860128552734
Temperature_SI,271.5,242.65401548093678,262.717441792785
Temperature_SI,271.8,242.72878995972582,262.80576991931406
Temperature_SI,272.1,242.80310743272128,262.89358310133406
Temperature_SI,272.4,242.87696615164535,262.9808790081858
Temperature_SI,272.7,242.95036457290266,263.06765554115776
Temperature_SI,273.0,243.02330135621926,263.1539108321594
