Parameter,Value,TbH,TbV
Thickness_SI_1,0.0,233.33342312033463,252.94246155681486
Thickness_SI_1,0.005,242.7761036496364,262.8631417781809
Thickness_SI_1,0.01,242.77796602778756,262.8641630449719
Thickness_SI_1,0.015,242.77831453923187,262.8643434287366
Thickness_SI_1,0.02,242.77837659557918,262.86437064013995
Thickness_SI_1,0.025,242.77838609760659,262.864372416623
Thickness_SI_1,0.03,242.77838678283965,262.8643711873707
Thickness_SI_1,0.035,242.77838639103356,262.86437024507893
Thickness_SI_1,0.04,242.7783860787027,262.8643697486954
Thickness_SI_1,0.045,242.77838591208354,262.864369512997
Thickness_SI_1,0.05,242.77838583228382,262.8643694053734
Thickness_SI_1,0.055,242.77838579557425,262.86436935701914
Thickness_SI_1,0.06,242.77838577895756,262.8643693354513
Thickness_SI_1,0.065,242.77838577148853,262.86436932585235
Thickness_SI_1,0.07,242.77838576814324,262.86436932159245
Thickness_SI_1,0.075,242.77838576664413,262.86436931969604
Thickness_SI_1,0.08,242.77838576597537,262.8643693188518
Thickness_SI_1,0.085,242.7783857656744,262.86436931848135
Thickness_SI_1,0.09,242.77838576554166,262.864369318317
Thickness_SI_1,0.095,242.7783857654831,262.86436931824056
Thickness_SI_1,0.1,242.7783857654534,262.8643693182057
