Parameter,Value,TbH,TbV
Thickness_SP,0.0,239.05939602568347,255.64247348800188
Thickness_SP,0.01,233.92926003344346,256.9347927926941
Thickness_SP,0.02,235.25505231272086,257.84306502319083
Thickness_SP,0.03,236.47173739423658,258.6690749723632
Thickness_SP,0.04,237.59217683006628,259.42402381819034
Thickness_SP,0.05,238.62687433553128,260.1168571079844
Thickness_SP,0.06,239.58455887181273,260.7548242377662
Thickness_SP,0.07,240.4726127879832,261.34390548455974
Thickness_SP,0.08,241.2973738593054,261.88911436705314
Thickness_SP,0.09,242.06435162395607,262.3947131669237
Thickness_SP,0.1,242.77838583228382,262.8643694053734
Thickness_SP,0.11,243.4437651059568,263.30127171896555
Thickness_SP,0.12,244.0643176499022,263.7082172990573
Thickness_SP,0.13,244.64348191192573,264.0876790265145
Thickness_SP,0.14,245.18436256402586,264.44185783850656
Thickness_SP,0.15,245.68977553948272,264.77272416824775
Thickness_SP,0.16,246.1622847709188,265.08205117135253
Thickness_SP,0.17,246.60423253697263,265.37144168846464
Thickness_SP,0.18,247.0177648162817,265.6423503671025
Thickness_SP,0.19,247.40485268995252,265.89610199656255
Thickness_SP,0.2,247.76731057871,266.1339068465313
