Parameter,Value,TbH,TbV
Density_DH,200.0,239.07550762852676,260.70582332425386
Density_DH,207.25,239.57123861832818,260.71554306411394
Density_DH,214.5,240.08413896991397,260.7837958204245
Density_DH,221.75,240.5329842455622,260.8031108329233
Density_DH,229.0,240.95232999461837,260.81603613728186
Density_DH,236.25,241.30489531120156,260.7798040875862
Density_DH,243.5,241.77624614311048,260.91982365381995
Density_DH,250.75,242.12307736317945,260.9327108100051
Density_DH,258.0,242.40295796150102,260.8935299223409
Density_DH,265.25,242.8208780146175,261.05207937302276
Density_DH,272.5,243.09828264450414,261.0610526476694
Density_DH,279.75,243.4407070043659,261.1821343376927
Density_DH,287.0,243.68904139706297,261.2070625861896
Density_DH,294.25,243.90447452696617,261.215141284705
Density_DH,301.5,244.18317071852087,261.3264755298367
Density_DH,308.75,244.36710270197375,261.3419169859321
Density_DH,316.0,244.5160417311605,261.33618441187974
Density_DH,323.25,244.75918215483173,261.469985894354
Density_DH,330.5,244.8879960711692,261.4810482972413
Density_DH,337.75,244.9714649918105,261.45610914594687
Density_DH,345.0,245.18557519788197,261.61368820031834
