Parameter,Value,TbH,TbV
Density_SI,400.0,238.87591452736,255.74778114891086
Density_SI,420.0,240.23451579288218,257.0348668306807
Density_SI,440.0,241.47011857755527,258.2430643574489
Density_SI,460.0,242.57861201715176,259.3659078691667
Density_SI,480.0,243.55816785649273,260.39953278986167
Density_SI,500.0,244.39603968134813,261.3433647984369
Density_SI,520.0,245.11808267546743,262.19486965349716
Density_SI,540.0,245.7193587776748,262.956417595575
Density_SI,560.0,246.20152848449428,263.62977168702866
Density_SI,580.0,246.5694106606774,264.2179365187872
Density_SI,600.0,246.82431333343587,264.7253826213255
Density_SI,620.0,246.9823212315988,265.154861478344
Density_SI,640.0,247.04543633463115,265.5111889547827
Density_SI,660.0,247.01911944356561,265.79962863764797
Density_SI,680.0,246.91392134853493,266.02436277541085
Density_SI,700.0,246.73573330601272,266.19074011171193
Density_SI,720.0,246.49156391406538,266.30427432587874
Density_SI,740.0,246.19019056000607,266.36992181087487
Density_SI,760.0,245.83852032459126,266.3934423978622
Density_SI,780.0,245.44461190228688,266.38025526765244
Density_SI,800.0,245.01569534772005,266.3360268081156
