Parameter,Value,TbH,TbV
Density_SP,300.0,244.39603968134813,261.3433647984369
Density_SP,306.0,244.04316720995467,261.3536027144679
Density_SP,312.0,243.67462874257262,261.35304970419753
Density_SP,318.0,243.33333685867208,261.3983801328464
Density_SP,324.0,242.9612229908753,261.41280159939265
Density_SP,330.0,242.58327404658718,261.4281882686068
Density_SP,336.0,242.19907137744093,261.44373109228917
Density_SP,342.0,241.7990694379381,261.4449825952357
Density_SP,348.0,241.39924565528597,261.45521517580306
Density_SP,354.0,240.99513872319216,261.4672981959535
Density_SP,360.0,240.59432462006083,261.4916560282286
Density_SP,366.0,240.17999234414572,261.5035230727244
Density_SP,372.0,239.7612915786014,261.5159471949107
Density_SP,378.0,239.33837762238244,261.5287274103034
Density_SP,384.0,238.91658610592017,261.5492102129084
Density_SP,390.0,238.48540649321845,261.5616641104182
Density_SP,396.0,238.05040489737414,261.57395351250204
Density_SP,402.0,237.61516263190293,261.59106237466796
Density_SP,408.0,237.17332946015355,261.6030754762229
Density_SP,414.0,236.72809292721323,261.6145122472795
Density_SP,420.0,236.28174640673512,261.62855383276235
