Parameter,Value,TbH,TbV
Fraction_volume_water_DH,0.0,242.17620074039394,260.2848903313048
Fraction_volume_water_DH,0.002,242.4199410321512,260.4069185146177
Fraction_volume_water_DH,0.004,242.65172896044635,260.51747742622507
Fraction_volume_water_DH,0.006,242.92004435845078,260.682650940557
Fraction_volume_water_DH,0.008,243.16158475784164,260.81024419634895
Fraction_volume_water_DH,0.01,243.40212967882456,260.93973250189583
Fraction_volume_water_DH,0.012,243.6391213899461,261.0677573424408
Fraction_volume_water_DH,0.014,243.8720710243692,261.1937416309143
Fraction_volume_water_DH,0.016,244.10083861792444,261.3175215903423
Fraction_volume_water_DH,0.018000000000000002,244.32531020412208,261.4389608393136
Fraction_volume_water_DH,0.02,244.54532797304893,261.55787213105316
Fraction_volume_water_DH,0.022,244.76066674942444,261.6739913158649
Fraction_volume_water_DH,0.024,244.9710232625813,261.7869661270774
Fraction_volume_water_DH,0.026000000000000002,245.17602828021407,261.8963732341915
Fraction_volume_water_DH,0.028,245.37533098397986,262.0018228906982
Fraction_volume_water_DH,0.03,245.56884581114397,262.10325611483927
Fraction_volume_water_DH,0.032,245.75714702501963,262.20140704650646
Fraction_volume_water_DH,0.034,246.10352076627203,262.4974032850544
Fraction_volume_water_DH,0.036000000000000004,246.3026189420217,262.6144454552259
Fraction_volume_water_DH,0.038,246.49778268533893,262.72938981596826
Fraction_volume_water_DH,0.04,246.6889197247941,262.84228200804245
