Parameter,Value,TbH,TbV
Salinity_SI_1,6.0,244.51230733488308,261.38511506582944
Salinity_SI_1,6.25,244.4968860154716,261.3784611368618
Salinity_SI_1,6.5,244.4813559890163,261.37177051689406
Salinity_SI_1,6.75,244.46571643894907,261.3650413701867
Salinity_SI_1,7.0,244.44996668629062,261.3582718863211
Salinity_SI_1,7.25,244.43410623529553,261.3514603028939
Salinity_SI_1,7.5,244.41813480671433,261.3446049230105
Salinity_SI_1,7.75,244.40205235939834,261.33770412655974
Salinity_SI_1,8.0,244.39603968134813,261.3433647984369
Salinity_SI_1,8.25,244.4052385086918,261.3558933392662
Salinity_SI_1,8.5,244.36433433875266,261.33367693125217
Salinity_SI_1,8.75,244.28669964089934,261.2535204428223
Salinity_SI_1,9.0,244.36845965324306,261.3453088366655
Salinity_SI_1,9.25,244.33713037011378,261.3371538296748
Salinity_SI_1,9.5,244.33719192989665,261.36225378723896
Salinity_SI_1,9.75,244.18222774631204,261.16735753527604
Salinity_SI_1,10.0,244.2082913422643,261.21860317917117
Salinity_SI_1,10.25,244.24109407983812,261.2691514232563
Salinity_SI_1,10.5,244.31015869852178,261.36143365804014
Salinity_SI_1,10.75,244.25883280020867,261.3105803819208
Salinity_SI_1,11.0,244.12914195037368,261.1824042178933
