Parameter,Value,TbH,TbV
Temperature_DH,263.0,243.93718081358688,260.7129934952019
Temperature_DH,263.5,243.97701596371888,260.7662813532409
Temperature_DH,264.0,244.01564300593364,260.8181811592409
Temperature_DH,264.5,244.05309253256308,260.86872163605716
Temperature_DH,265.0,244.08939519288893,260.91793181307617
Temperature_DH,265.5,244.12458164510014,260.9658409679025
Temperature_DH,266.0,244.15868251102663,261.01247857115334
Temperature_DH,266.5,244.191728333606,261.05787423408884
Temperature_DH,267.0,244.2237495369304,261.10205765896774
Temperature_DH,267.5,244.2547763891316,261.14505859242945
Temperature_DH,268.0,244.28483896756538,261.186906781351
Temperature_DH,268.5,244.31396712671673,261.2276319316126
Temperature_DH,269.0,244.34219046840988,261.26726366934207
Temperature_DH,269.5,244.36953831441065,261.3058315047406
Temperature_DH,270.0,244.39603968134813,261.3433647984369
Temperature_DH,270.5,244.42172325780277,261.3798927301781
Temperature_DH,271.0,244.44661738347932,261.41544426993863
Temperature_DH,271.5,244.4707500305514,261.45004815122365
Temperature_DH,272.0,244.49414878686568,261.48373284655986
Temperature_DH,272.5,244.51684084099045,261.5165265450985
Temperature_DH,273.0,244.5388529691906,261.548457132226
