Parameter,Value,TbH,TbV
Temperature_SI_1,244.0,239.0658166426344,255.35743396087065
Temperature_SI_1,245.4,239.2157938869362,255.52142714598628
Temperature_SI_1,246.8,239.35553671638968,255.67615382342703
Temperature_SI_1,248.2,239.49430436758607,255.83285893816705
Temperature_SI_1,249.6,239.6573749310877,256.02134609202113
Temperature_SI_1,251.0,239.90929286962535,256.30492786250664
Temperature_SI_1,252.4,240.28109374379255,256.7081442301135
Temperature_SI_1,253.8,240.65643661202708,257.1157389232608
Temperature_SI_1,255.2,241.03437004954063,257.5268286738142
Temperature_SI_1,256.6,241.41401832590654,257.94066385588695
Temperature_SI_1,258.0,241.79455980630024,258.3566316351012
Temperature_SI_1,259.4,242.17517987358042,258.774248569999
Temperature_SI_1,260.8,242.5549751860111,259.1931320698041
Temperature_SI_1,262.2,242.93275906866427,259.61292686884514
Temperature_SI_1,263.6,243.30665289687167,260.03313107245236
Temperature_SI_1,265.0,243.6731755192105,260.45268270282696
Temperature_SI_1,266.4,244.02502031704586,260.8689150579391
Temperature_SI_1,267.8,244.3448525231152,261.27458754966614
Temperature_SI_1,269.2,244.60534246801282,261.6693115550982
Temperature_SI_1,270.6,244.47945385922068,261.8318536087765
Temperature_SI_1,272.0,242.4633478045549,260.7554328119846
