Parameter,Value,TbH,TbV
Fraction_volume_water_SP,0.0,239.85286886015422,254.66004875934811
Fraction_volume_water_SP,0.002,241.93112652545062,256.41401826176485
Fraction_volume_water_SP,0.004,243.69125516823192,257.89000300441154
Fraction_volume_water_SP,0.006,245.19373483699263,259.1453583866711
Fraction_volume_water_SP,0.008,246.48183778847883,260.2208385794296
Fraction_volume_water_SP,0.01,247.59442107812308,261.1554978309563
Fraction_volume_water_SP,0.012,248.57227718225295,261.9939948549157
Fraction_volume_water_SP,0.014,250.13877535527996,263.76034411939173
Fraction_volume_water_SP,0.016,250.9279466963847,264.48598236236097
Fraction_volume_water_SP,0.018000000000000002,251.6112678838256,265.1250097253328
Fraction_volume_water_SP,0.02,252.20183496532354,265.6882436289514
Fraction_volume_water_SP,0.022,252.7108844668712,266.18488096637464
Fraction_volume_water_SP,0.024,253.14818524867664,266.6228892992484
Fraction_volume_water_SP,0.026000000000000002,253.52228912353667,267.0092284160946
Fraction_volume_water_SP,0.028,253.84071289928863,267.3500065707961
Fraction_volume_water_SP,0.03,254.11007988334188,267.6506007960665
Fraction_volume_water_SP,0.032,254.33623439587362,267.9157534708285
Fraction_volume_water_SP,0.034,254.52433707557373,268.14965197738036
Fraction_volume_water_SP,0.036000000000000004,254.67894585018132,268.35599579018333
Fraction_volume_water_SP,0.038,254.80408578174797,268.53805389797134
Fraction_volume_water_SP,0.04,254.90330998884193,268.6987145618728
