Parameter,Value,TbH,TbV
Salinity_DH,0.0,239.5489614570305,254.35646573244404
Salinity_DH,0.4,239.55232374362754,254.35913717416244
Salinity_DH,0.8,239.55557568025083,254.36172056433384
Salinity_DH,1.2000000000000002,239.55871764111393,254.36421605144736
Salinity_DH,1.6,239.56174972732165,254.36662354199197
Salinity_DH,2.0,239.56467206778345,254.36894298190782
Salinity_DH,2.4000000000000004,239.56748488469088,254.37117441587452
Salinity_DH,2.8000000000000003,239.57018849731594,254.37331798895892
Salinity_DH,3.2,239.57278330960372,254.37537393332647
Salinity_DH,3.6,239.57526979469716,254.37734255255927
Salinity_DH,4.0,239.57764848066006,254.3792242072649
Salinity_DH,4.4,239.5799199382554,254.38101930284608
Salinity_DH,4.800000000000001,239.58208477089843,254.38272827950925
Salinity_DH,5.2,239.5841436065415,254.3843516041499
Salinity_DH,5.6000000000000005,239.58609709113827,254.3858897638634
Salinity_DH,6.0,239.58794588340365,254.38734326067504
Salinity_DH,6.4,239.58969065061984,254.38871260736494
Salinity_DH,6.800000000000001,239.59133206532337,254.38999832411486
Salinity_DH,7.2,239.5928708026157,254.3912009357941
Salinity_DH,7.6000000000000005,239.59430753808513,254.39232096983514
Salinity_DH,8.0,239.5956429461377,254.39335895450853
