Parameter,Value,TbH,TbV
Salinity_SI,3.0,239.57338936176467,254.37400845114328
Salinity_SI,4.05,239.578766826387,254.37927557826603
Salinity_SI,5.1,239.5835588258495,254.38397384003645
Salinity_SI,6.15,239.58777542478796,254.38811348671146
Salinity_SI,7.2,239.59142707920319,254.391705011631
Salinity_SI,8.25,239.59452424167532,254.3947588163842
Salinity_SI,9.3,239.5970771497679,254.39728503450178
Salinity_SI,10.350000000000001,239.59909572022755,254.39929344694625
Salinity_SI,11.4,239.6005895071041,254.4007934534154
Salinity_SI,12.450000000000001,239.6015677009442,254.40179407961818
Salinity_SI,13.5,239.60203915676954,254.40230401016527
Salinity_SI,14.55,239.60201244413224,254.40233164140096
Salinity_SI,15.600000000000001,239.60149591635152,254.40188515179878
Salinity_SI,16.65,239.60049779812329,254.4009725896384
Salinity_SI,17.700000000000003,239.59902629245823,254.39960197896445
Salinity_SI,18.75,239.59708970923168,254.3977814463119
Salinity_SI,19.8,239.59469661896802,254.3955193717178
Salinity_SI,20.85,239.59185603668698,254.39282456894097
Salinity_SI,21.900000000000002,239.5885776424329,254.38970650124793
Salinity_SI,22.95,239.5848720467763,254.38617554093403
Salinity_SI,24.0,239.58075111196356,254.38224328305816
