Parameter,Value,TbH,TbV
Temperature_SI,267.0,238.07429915218188,252.7076348915884
Temperature_SI,267.25,238.17061350470289,252.8144121035506
Temperature_SI,267.5,238.26665864284547,252.92091841807914
Temperature_SI,267.75,238.36243455180585,253.02715361743313
Temperature_SI,268.0,238.4579412804945,253.13311754553865
Temperature_SI,268.25,238.55317894070802,253.23881010742463
Temperature_SI,268.5,238.6481477063329,253.34423126869655
Temperature_SI,268.75,238.74284781260994,253.44938105501006
Temperature_SI,269.0,238.83727955538072,253.55425955157895
Temperature_SI,269.25,238.93144329043835,253.65886690272313
Temperature_SI,269.5,239.02533943285533,253.7632033113888
Temperature_SI,269.75,239.11896845631557,253.867269038744
Temperature_SI,270.0,239.21233089256475,253.97106440371525
Temperature_SI,270.25,239.30542733075876,254.07458978262102
Temperature_SI,270.5,239.3982584169319,254.17784560873656
Temperature_SI,270.75,239.49082485342115,254.28083237193422
Temperature_SI,271.0,239.58312739832775,254.3835506182969
Temperature_SI,271.25,239.67516686500045,254.48600094973847
Temperature_SI,271.5,239.7669441215124,254.58818402364702
Temperature_SI,271.75,239.85846009017405,254.69010055254483
Temperature_SI,272.0,239.94971574700537,254.79175130371513
