Parameter,Value,TbH,TbV
Temperature_SP,259.0,239.0838092846342,253.86325561900713
Temperature_SP,259.7,239.11307426727635,253.89418199286524
Temperature_SP,260.4,239.14309176117055,253.92583395868127
Temperature_SP,261.1,239.17388486246608,253.9582341042865
Temperature_SP,261.8,239.2054774056102,253.99140575096658
Temperature_SP,262.5,239.23789398464254,254.02537297477562
Temperature_SP,263.2,239.2711599749152,254.06016062841383
Temperature_SP,263.9,239.30530155543778,254.09579436358433
Temperature_SP,264.6,239.34034573162933,254.13230065386946
Temperature_SP,265.3,239.37632035865678,254.16970681818347
Temperature_SP,266.0,239.4132541652904,254.20804104469417
Temperature_SP,266.7,239.4511767782551,254.24733241536768
Temperature_SP,267.4,239.4901187471593,254.2876109309303
Temperature_SP,268.1,239.53011156991093,254.32890753652956
Temperature_SP,268.8,239.57118771873436,254.37125414780402
Temperature_SP,269.5,239.61338066662404,254.41468367759043
Temperature_SP,270.2,239.65672491446762,254.45923006315908
Temperature_SP,270.9,239.7012560185656,254.50492829397646
Temperature_SP,271.6,239.7470106188176,254.5518144400329
Temperature_SP,272.3,239.79402646734047,254.59992568074514
Temperature_SP,273.0,239.84234245768354,254.64930033438372
