Parameter,Value,TbH,TbV
Thickness_DH,0.0,220.08555595813212,253.7446386887618
Thickness_DH,0.005,238.02294375109756,253.44068160710583
Thickness_DH,0.01,238.44472468101344,253.6849059100112
Thickness_DH,0.015,238.80189717596926,253.89778614228703
Thickness_DH,0.02,239.10517612593858,254.08285540541692
Thickness_DH,0.025,239.36322119195913,254.24370405070738
Thickness_DH,0.03,239.58312739832775,254.3835506182969
Thickness_DH,0.035,239.77077139953244,254.50520043689409
Thickness_DH,0.04,239.93105831033301,254.61108027993296
Thickness_DH,0.045,240.06810474136398,254.70328583731046
Thickness_DH,0.05,240.18537922076592,254.7836271079229
Thickness_DH,0.055,240.28581276865955,254.85366842968503
Thickness_DH,0.06,240.37188767812393,254.91476293211747
Thickness_DH,0.065,240.4457098296781,254.96808198245353
Thickness_DH,0.07,240.5090682206423,255.01464033030055
Thickness_DH,0.075,240.56348435553573,255.05531760621216
Thickness_DH,0.08,240.61025346439803,255.09087673845698
Thickness_DH,0.085,240.65047905287068,255.12197976131543
Thickness_DH,0.09,240.68510196020523,255.14920140974743
Thickness_DH,0.095,240.71492486166986,255.1730408294686
Thickness_DH,0.1,240.74063297179475,255.19393167785452
