Parameter,Value,TbH,TbV
Thickness_SI,0.0,218.1550387630939,245.55899664205748
Thickness_SI,0.02,240.0148023151086,254.90738202148003
Thickness_SI,0.04,239.52310885852705,254.32836596732187
Thickness_SI,0.06,239.51296413292502,254.31337830288552
Thickness_SI,0.08,239.55475612984344,254.35547151562082
Thickness_SI,0.1,239.58312739832775,254.3835506182969
Thickness_SI,0.12,239.597832541962,254.3978189682992
Thickness_SI,0.14,239.60484443923156,254.40451476168852
Thickness_SI,0.16,239.6080831909104,254.40757035251286
Thickness_SI,0.18,239.609560092858,254.40895139890526
Thickness_SI,0.2,239.61023015229782,254.40957395063572
Thickness_SI,0.22,239.61053358618824,254.40985457415854
Thickness_SI,0.24,239.61067092119913,254.40998116905533
Thickness_SI,0.26,239.6107330781532,254.41003833197448
Thickness_SI,0.28,239.61076121432546,254.4100641650059
Thickness_SI,0.3,239.610773952955,254.4100758472992
Thickness_SI,0.32,239.61077972136022,254.41008113301967
Thickness_SI,0.34,239.61078233382608,254.4100835254956
Thickness_SI,0.36,239.6107835171229,254.41008460870393
Thickness_SI,0.38,239.61078405313754,254.41008509923097
Thickness_SI,0.4,239.6107842959516,254.41008532139702
