Parameter,Value,TbH,TbV
Thickness_SI_1,0.0,238.73548696302694,253.52836552710352
Thickness_SI_1,0.005,239.58316081229447,254.38358202884993
Thickness_SI_1,0.01,239.5831448765869,254.38356702079898
Thickness_SI_1,0.015,239.58313663503523,254.38355926789504
Thickness_SI_1,0.02,239.58313228529465,254.38355518435924
Thickness_SI_1,0.025,239.58312996667897,254.3835530127474
Thickness_SI_1,0.03,239.58312872432626,254.3835518519836
Thickness_SI_1,0.035,239.58312805663823,254.38355122962753
Thickness_SI_1,0.04,239.5831276970542,254.38355089524208
Thickness_SI_1,0.045,239.5831275030906,254.38355071528133
Thickness_SI_1,0.05,239.58312739832775,254.3835506182969
Thickness_SI_1,0.055,239.58312734167285,254.3835505659549
Thickness_SI_1,0.06,239.58312731099605,254.38355053767415
Thickness_SI_1,0.065,239.58312729436997,254.3835505223834
Thickness_SI_1,0.07,239.58312728535137,254.38355051409474
Thickness_SI_1,0.075,239.58312728045144,254.3835505096052
Thickness_SI_1,0.08,239.5831272777934,254.38355050717402
Thickness_SI_1,0.085,239.58312727634103,254.38355050584562
Thickness_SI_1,0.09,239.5831272755565,254.38355050513073
Thickness_SI_1,0.095,239.58312727512205,254.3835505047372
Thickness_SI_1,0.1,239.58312727488865,254.38355050452415
