Parameter,Value,TbH,TbV
Thickness_SP,0.0,237.53992836971443,253.80528480484708
Thickness_SP,0.01,238.80725269377177,253.75885681660412
Thickness_SP,0.02,238.92237136703164,253.85164522314872
Thickness_SP,0.03,239.0360187503865,253.94321154308727
Thickness_SP,0.04,239.14822282894943,254.0335807871378
Thickness_SP,0.05,239.2590104392649,254.12277687071904
Thickness_SP,0.06,239.368407358238,254.21082269959916
Thickness_SP,0.07,239.47643838232912,254.29774024627005
Thickness_SP,0.08,239.58312739832775,254.3835506182969
Thickness_SP,0.09,239.68849744685795,254.46827411968607
Thickness_SP,0.1,239.79257077954335,254.5519303062152
Thickness_SP,0.11,239.89536891055943,254.63453803539383
Thickness_SP,0.12,239.9969126634107,254.71611551175857
Thickness_SP,0.13,240.09722221331643,254.79668032797437
Thickness_SP,0.14,240.1963171258599,254.87624950238254
Thickness_SP,0.15,240.29421639224705,254.95483951320807
Thickness_SP,0.16,240.39093846160858,255.0324663298853
Thickness_SP,0.17,240.48650127058914,255.10914544182666
Thickness_SP,0.18,240.5809222705727,255.18489188487604
Thickness_SP,0.19,240.67421845275564,255.25972026562147
Thickness_SP,0.2,240.76640637132937,255.33364478391726
