Parameter,Value,TbH,TbV
Density_SP,200.0,238.4090781424808,262.68226177509587
Density_SP,212.5,238.08736897823684,262.6966382842948
Density_SP,225.0,237.70724712257274,262.70755815133845
Density_SP,237.5,237.27897825315335,262.72040868263383
Density_SP,250.0,236.81359673331812,262.74339340922535
Density_SP,262.5,236.29882313062427,262.76026539890603
Density_SP,275.0,235.75554544373136,262.788963723237
Density_SP,287.5,235.16256484857323,262.8043860943314
Density_SP,300.0,234.6245525602201,262.92237419111757
Density_SP,312.5,233.91246289469115,262.87410365873734
Density_SP,325.0,233.23404134157934,262.8984001997748
Density_SP,337.5,232.521818493351,262.9107929404601
Density_SP,350.0,231.79262226585942,262.93203987863654
Density_SP,362.5,231.04990417126902,262.96319496929084
Density_SP,375.0,230.28156076188165,262.9845953268333
Density_SP,387.5,229.49994657584386,263.0106316660247
Density_SP,400.0,228.69939630892446,263.03034128145214
Density_SP,412.5,227.88670956856814,263.050938896517
Density_SP,425.0,227.06007498899638,263.06708041466794
Density_SP,437.5,226.22319379627385,263.081891773907
Density_SP,450.0,225.37609394281515,263.0929805079507
