Parameter,Value,TbH,TbV
Fraction_volume_water_SP,0.0,230.5909945413703,262.9760209589746
Fraction_volume_water_SP,0.01,236.4845237436413,265.3044643313344
Fraction_volume_water_SP,0.02,240.7603051311434,267.1150643346716
Fraction_volume_water_SP,0.03,243.72734819162974,268.5114370874284
Fraction_volume_water_SP,0.04,245.65140744546073,269.5720696859773
Fraction_volume_water_SP,0.05,246.7652884397086,270.3645280929042
Fraction_volume_water_SP,0.06,247.26767605407292,270.9471666874976
Fraction_volume_water_SP,0.07,247.3219315692512,271.3694619153666
Fraction_volume_water_SP,0.08,247.0568907356377,271.67165517258576
Fraction_volume_water_SP,0.09,246.56982319549329,271.88547467821644
Fraction_volume_water_SP,0.1,245.93102928661793,272.0350922529834
Fraction_volume_water_SP,0.11,245.18930334127563,272.138396828717
Fraction_volume_water_SP,0.12,244.3772329555117,272.2083617583083
Fraction_volume_water_SP,0.13,243.51608335801095,272.25423199203817
Fraction_volume_water_SP,0.14,242.61954340925467,272.2825341091026
Fraction_volume_water_SP,0.15,241.69659070550395,272.29782473228624
Fraction_volume_water_SP,0.16,240.75331525811637,272.3032370814896
Fraction_volume_water_SP,0.17,239.7941410483433,272.3008625587969
Fraction_volume_water_SP,0.18,238.8224807314058,272.2920236337923
Fraction_volume_water_SP,0.19,237.8411596139131,272.2774766781836
Fraction_volume_water_SP,0.2,236.85260457015954,272.25756497712314
