Parameter,Value,TbH,TbV
Salinity_SI_1,7.0,233.6882246058232,264.23766890070726
Salinity_SI_1,7.25,233.43727103864794,264.13718330951673
Salinity_SI_1,7.5,233.18501193013708,264.03612525752607
Salinity_SI_1,7.75,232.93147509023936,263.934427068775
Salinity_SI_1,8.0,232.67666948322108,263.832009877709
Salinity_SI_1,8.25,232.42059083074707,263.72878733951336
Salinity_SI_1,8.5,232.16322618630016,263.6246686839739
Salinity_SI_1,8.75,231.9045576153969,263.5195611868062
Salinity_SI_1,9.0,231.6445651068863,263.41337212994006
Salinity_SI_1,9.25,231.3832288304162,263.30601031889137
Salinity_SI_1,9.5,231.12053084405662,263.1973872203066
Salinity_SI_1,9.75,230.8564563445252,263.0874177778608
Salinity_SI_1,10.0,230.5909945413703,262.9760209589746
Salinity_SI_1,10.25,230.32413922561867,262.86312007924073
Salinity_SI_1,10.5,230.05588909325925,262.7486429459814
Salinity_SI_1,10.75,229.786247874834,262.63252185711525
Salinity_SI_1,11.0,229.51522431410305,262.5146934866309
Salinity_SI_1,11.25,229.24283203151066,262.39509868351996
Salinity_SI_1,11.5,228.9690893018233,262.2736822070519
Salinity_SI_1,11.75,228.69401876998347,262.1503924176517
Salinity_SI_1,12.0,228.4176471245938,262.0251809395569
