Parameter,Value,TbH,TbV
Salinity_SP,0.0,230.5909945413703,262.9760209589746
Salinity_SP,0.5,230.5909945413703,262.9760209589746
Salinity_SP,1.0,230.5909945413703,262.9760209589746
Salinity_SP,1.5,230.5909945413703,262.9760209589746
Salinity_SP,2.0,230.5909945413703,262.9760209589746
Salinity_SP,2.5,230.5909945413703,262.9760209589746
Salinity_SP,3.0,230.5909945413703,262.9760209589746
Salinity_SP,3.5,230.5909945413703,262.9760209589746
Salinity_SP,4.0,230.5909945413711,262.97602095897474
Salinity_SP,4.5,230.5909945413711,262.97602095897474
Salinity_SP,5.0,230.5909945413703,262.9760209589746
Salinity_SP,5.5,230.5909945413703,262.9760209589746
Salinity_SP,6.0,230.5909945413703,262.9760209589746
Salinity_SP,6.5,230.5909945413703,262.9760209589746
Salinity_SP,7.0,230.5909945413703,262.9760209589746
Salinity_SP,7.5,230.59099454137103,262.9760209589748
Salinity_SP,8.0,230.5909945413703,262.9760209589746
Salinity_SP,8.5,230.5909945413703,262.9760209589746
Salinity_SP,9.0,230.5909945413703,262.9760209589746
Salinity_SP,9.5,230.5909945413703,262.9760209589746
Salinity_SP,10.0,230.5909945413703,262.9760209589746
