Parameter,Value,TbH,TbV
Temperature_SP,263.15,230.3641719790473,262.7772014025278
Temperature_SP,263.65,230.37305369386573,262.785408094584
Temperature_SP,264.15,230.3821588210073,262.793770849675
Temperature_SP,264.65,230.39149265613773,262.80229359337903
Temperature_SP,265.15,230.40106062887696,262.8109803572202
Temperature_SP,265.65,230.41086830608114,262.8198352814156
Temperature_SP,266.15,230.4209213952,262.8288626176898
Temperature_SP,266.65,230.43122574770902,262.83806673215656
Temperature_SP,267.15,230.44178736261614,262.84745210826867
Temperature_SP,267.65,230.4526123900501,262.85702334983944
Temperature_SP,268.15,230.46370713492212,262.866785184134
Temperature_SP,268.65,230.475078060675,262.87674246503616
Temperature_SP,269.15,230.48673179310615,262.88690017628676
Temperature_SP,269.65,230.49867512427818,262.89726343479964
Temperature_SP,270.15,230.5109150165142,262.90783749405455
Temperature_SP,270.65,230.5234586064751,262.9186277475675
Temperature_SP,271.15,230.53631320932746,262.92963973244304
Temperature_SP,271.65,230.54948632299545,262.94087913300524
Temperature_SP,272.15,230.5629856325056,262.9523517845142
Temperature_SP,272.65,230.57681901442228,262.96406367696557
Temperature_SP,273.15,230.5909945413703,262.9760209589746
