Parameter,Value,TbH,TbV
Thickness_SP,0.0,232.87664824913082,262.65832556835494
Thickness_SP,0.01,229.88966619953015,262.74535515145925
Thickness_SP,0.02,229.96816122486493,262.770573951452
Thickness_SP,0.03,230.04661641916456,262.7960355289128
Thickness_SP,0.04,230.12495936776256,262.8216424191492
Thickness_SP,0.05,230.2031459120282,262.8473341085534
Thickness_SP,0.06,230.28114751987178,262.873070787323
Thickness_SP,0.07,230.35894491018365,262.8988250270979
Thickness_SP,0.08,230.4365245875711,262.9245772050099
Thickness_SP,0.09,230.5138768429496,262.95031283879734
Thickness_SP,0.1,230.5909945413703,262.9760209589746
Thickness_SP,0.11,230.66787235574503,263.0016930734847
Thickness_SP,0.12,230.7445062647603,263.0273224859308
Thickness_SP,0.13,230.82089321348258,263.0529038328652
Thickness_SP,0.14,230.89703087758005,263.0784327613066
Thickness_SP,0.15,230.9729174955097,263.10390569863296
Thickness_SP,0.16,231.04855174647722,263.12931968489994
Thickness_SP,0.17,231.12393265994524,263.1546722483229
Thickness_SP,0.18,231.19905954735916,263.17996131122004
Thickness_SP,0.19,231.2739319498138,263.20518511786
Thickness_SP,0.2,231.34854959736322,263.2303421783294
