Parameter,Value,TbH,TbV
Density_DH,200.0,227.9513902124355,254.9956616103719
Density_DH,212.5,229.56308104067824,255.78597875397995
Density_DH,225.0,230.8962839590992,256.2791219012511
Density_DH,237.5,232.34783966318219,257.01614710585494
Density_DH,250.0,233.59409359097958,257.57852914812344
Density_DH,262.5,234.8898204139929,258.2528782011131
Density_DH,275.0,236.0342164826102,258.83850237960564
Density_DH,287.5,237.18252424200793,259.45355028605434
Density_DH,300.0,238.21790956118312,260.03335806474956
Density_DH,312.5,239.2256439283554,260.5902980488785
Density_DH,325.0,240.15698265307213,261.1572994315744
Density_DH,337.5,241.0272420005085,261.65036253666864
Density_DH,350.0,241.89382467030356,262.25059102855994
Density_DH,362.5,242.68888428769813,262.760141599788
Density_DH,375.0,243.30645141789856,263.12809701322874
Density_DH,387.5,243.9506330597196,263.5465924946065
Density_DH,400.0,244.5349955494662,263.95858987473775
Density_DH,412.5,245.0869736338077,264.36868170970325
Density_DH,425.0,245.57174346198252,264.70914997315367
Density_DH,437.5,246.0230391277489,265.06567378520936
Density_DH,450.0,246.42526930482532,265.3759300735276
