Parameter,Value,TbH,TbV
Fraction_volume_water_DH,0.0,225.71290210091723,252.980921728555
Fraction_volume_water_DH,0.01,231.9582637912351,256.59825610473337
Fraction_volume_water_DH,0.02,236.39231268108213,259.03744702117604
Fraction_volume_water_DH,0.03,239.82199255274517,260.92557336587714
Fraction_volume_water_DH,0.04,242.4681519013367,262.42171785955946
Fraction_volume_water_DH,0.05,244.51630594047262,263.6112077831313
Fraction_volume_water_DH,0.06,246.1385899396193,264.65314544252703
Fraction_volume_water_DH,0.07,247.38268329070195,265.4387090077681
Fraction_volume_water_DH,0.08,248.3591979138893,266.08416891307604
Fraction_volume_water_DH,0.09,249.12948954922894,266.619289871428
Fraction_volume_water_DH,0.1,249.79665749011494,267.1755286578413
Fraction_volume_water_DH,0.11,250.29392892171998,267.5677878745079
Fraction_volume_water_DH,0.12,250.69113374370633,267.89453913227726
Fraction_volume_water_DH,0.13,251.0102759247164,268.1703579894519
Fraction_volume_water_DH,0.14,251.21552464626703,268.348617711233
Fraction_volume_water_DH,0.15,251.40045924887372,268.52279393911044
Fraction_volume_water_DH,0.16,251.54851055807094,268.6743591215103
Fraction_volume_water_DH,0.17,251.66365530195642,268.80476086012743
Fraction_volume_water_DH,0.18,251.74573421765925,268.9210601657897
Fraction_volume_water_DH,0.19,251.80630757055678,269.0170812287088
Fraction_volume_water_DH,0.2,251.8463151502147,269.1003240864711
