Parameter,Value,TbH,TbV
Radius_SP,5e-05,238.39089053553187,260.2289531019076
Radius_SP,6.75e-05,238.3545880831779,260.1878266096228
Radius_SP,8.5e-05,238.29390938814754,260.1191770958658
Radius_SP,0.0001025,238.20280695160636,260.01632560898713
Radius_SP,0.00011999999999999999,238.07538596417967,259.87289513740234
Radius_SP,0.00013749999999999998,237.9059523134246,259.6828846148043
Radius_SP,0.000155,237.68909346636426,259.44075598497307
Radius_SP,0.0001725,237.41978615709246,259.1415241441144
Radius_SP,0.00018999999999999998,237.0935133549687,258.78083369204967
Radius_SP,0.00020749999999999998,236.70636990594392,258.35500869140975
Radius_SP,0.00022499999999999997,236.25514207504955,257.86107080815015
Radius_SP,0.00024249999999999999,235.73735622206328,257.2967316182795
Radius_SP,0.00026,235.15130020127356,256.6603709598537
Radius_SP,0.00027749999999999997,234.4960247516712,255.95101309600471
Radius_SP,0.000295,233.7713315561911,255.1683079533464
Radius_SP,0.0003125,232.9777519848775,254.31251904459307
Radius_SP,0.00033,232.11651786086355,253.3845153587812
Radius_SP,0.0003475,231.18952397175215,252.38576245683032
Radius_SP,0.000365,230.19928163869383,251.3183079931806
Radius_SP,0.0003825,229.1488630993261,250.1847581227957
Radius_SP,0.0004,228.04183728954243,248.98824296795638
