Parameter,Value,TbH,TbV
Salinity_DH,0.0,238.17000595711687,260.0055033999369
Salinity_DH,0.4,238.17458357913566,260.00817019634366
Salinity_DH,0.8,238.17903012237153,260.0107614290369
Salinity_DH,1.2000000000000002,238.1833459902026,260.0132767854219
Salinity_DH,1.6,238.18753143737663,260.0157158639422
Salinity_DH,2.0,238.19158678101067,260.01807837328874
Salinity_DH,2.4000000000000004,238.19551243818643,260.0203641604436
Salinity_DH,2.8000000000000003,238.1993089202001,260.02257319775924
Salinity_DH,3.2,238.20297681674492,260.02470556180464
Salinity_DH,3.6,238.20651677949664,260.02676141294677
Salinity_DH,4.0,238.20992950768817,260.02874097788947
Salinity_DH,4.4,238.21321573615626,260.030644535371
Salinity_DH,4.800000000000001,238.21637622566007,260.03247240464884
Salinity_DH,5.2,238.21941175512436,260.0342249362794
Salinity_DH,5.6000000000000005,238.22232311545304,260.0359025047462
Salinity_DH,6.0,238.22511110460664,260.0375055025553
Salinity_DH,6.4,238.22777652368657,260.0390343355058
Salinity_DH,6.800000000000001,238.23032017383412,260.0404894188824
Salinity_DH,7.2,238.23274285377775,260.041871174397
Salinity_DH,7.6000000000000005,238.23504535790565,260.0431800277214
Salinity_DH,8.0,238.23722847476708,260.04441640650583
