Parameter,Value,TbH,TbV
Temperature_DH,263.15,236.26405869980036,257.47387482181944
Temperature_DH,263.65,236.38232840851353,257.62008891321227
Temperature_DH,264.15,236.49841938197233,257.76447915410665
Temperature_DH,264.65,236.61231957961982,257.90701660221674
Temperature_DH,265.15,236.72402061160946,258.0476754598545
Temperature_DH,265.65,236.8335176375693,258.1864330469841
Temperature_DH,266.15,236.94080927051277,258.32326977684914
Temperature_DH,266.65,237.04589748187922,258.4581691298131
Temperature_DH,267.15,237.14878750534353,258.5911176228296
Temperature_DH,267.65,237.24948773805949,258.7221047730944
Temperature_DH,268.15,237.3480096386671,258.85112305512604
Temperature_DH,268.65,237.44436762180158,258.97816785100855
Temperature_DH,269.15,237.538578949125,259.1032373938193
Temperature_DH,269.65,237.63066361707735,259.22633270448273
Temperature_DH,270.15,237.7206442416608,259.3474575224194
Temperature_DH,270.65,237.8085459406486,259.46661823044724
Temperature_DH,271.15,237.89439621364787,259.58382377445844
Temperature_DH,271.65,237.97822482048264,259.69908557841364
Temperature_DH,272.15,238.06006365835867,259.8124174552197
Temperature_DH,272.65,238.139946638281,259.92383551406294
Temperature_DH,273.15,238.21790956118312,260.03335806474956
