Parameter,Value,TbH,TbV
Temperature_SI_1,268.15,238.2989913630753,259.7515053927917
Temperature_SI_1,268.29999999999995,238.3007812081874,259.7994229247958
Temperature_SI_1,268.45,238.29837808319564,259.845652070598
Temperature_SI_1,268.59999999999997,238.29136336426225,259.89001987835877
Temperature_SI_1,268.75,238.27926653708076,259.93233217522646
Temperature_SI_1,268.9,238.2615574817253,259.97237011000516
Temperature_SI_1,269.04999999999995,238.2376375674844,260.0098860167442
Temperature_SI_1,269.2,238.20682942905367,260.0445984294435
Temperature_SI_1,269.34999999999997,238.16836531700486,260.0761859904077
Temperature_SI_1,269.5,238.1213739514603,260.10427980709517
Temperature_SI_1,269.65,238.06486584316565,260.12845338793755
Temperature_SI_1,269.79999999999995,237.99771700991764,260.1482082865055
Temperature_SI_1,269.95,237.9186506888277,260.16295119689414
Temperature_SI_1,270.09999999999997,237.82621544529476,260.1719526412178
Temperature_SI_1,270.25,237.71875473400465,260.17426493605603
Temperature_SI_1,270.4,237.59435553617823,260.16855264453545
Temperature_SI_1,270.54999999999995,237.45075205930806,260.1527518378845
Temperature_SI_1,270.7,237.28515424352037,260.12344770496435
Temperature_SI_1,270.84999999999997,237.14189764108428,260.146648713085
Temperature_SI_1,271.0,236.67252215414996,259.8578408117467
Temperature_SI_1,271.15,236.26715251774584,259.70871665615147
